0 2 1
0.01 1.9602 1
0.02 1.9178 1
0.03 1.8798 1
0.04 1.846 1
0.05 1.8058 1
0.06 1.7686 1
0.07 1.7348 1
0.08 1.6996 1
0.09 1.667 1
0.1 1.6376 1
0.11 1.6018 1
0.12 1.5736 1
0.13 1.5378 1
0.14 1.5054 1
0.15 1.472 1
0.16 1.4422 1
0.17 1.4126 1
0.18 1.3848 1
0.19 1.3596 1
0.2 1.337 1
0.21 1.312 1
0.22 1.2896 1
0.23 1.2606 1
0.24 1.2324 1
0.25 1.2088 1
0.26 1.1804 1
0.27 1.157 1
0.28 1.1296 1
0.29 1.1068 1
0.3 1.089 1
0.31 1.07 1
0.32 1.0488 1
0.33 1.0292 1
0.34 1.0096 1
0.35 0.9904 1
0.36 0.9688 1
0.37 0.948 1
0.38 0.9292 1
0.39 0.9096 1
0.4 0.8932 1
0.41 0.8786 1
0.42 0.862 1
0.43 0.846 1
0.44 0.83 1
0.45 0.8154 1
0.46 0.7978 1
0.47 0.7808 1
0.48 0.7676 1
0.49 0.7524 1
0.5 0.7402 1
0.51 0.7222 1
0.52 0.7084 1
0.53 0.6948 1
0.54 0.6772 1
0.55 0.6648 1
0.56 0.6528 1
0.57 0.6402 1
0.58 0.6276 1
0.59 0.6142 1
0.6 0.6038 1
0.61 0.5914 1
0.62 0.5774 1
0.63 0.5668 1
0.64 0.5568 1
0.65 0.5448 1
0.66 0.5354 1
0.67 0.5248 1
0.68 0.5152 1
0.69 0.5066 1
0.7 0.4952 1
0.71 0.4848 1
0.72 0.4758 1
0.73 0.4678 1
0.74 0.459 1
0.75 0.4502 1
0.76 0.4394 1
0.77 0.4298 1
0.78 0.4226 1
0.79 0.4128 1
0.8 0.4026 1
0.81 0.3938 1
0.82 0.3842 1
0.83 0.3774 1
0.84 0.3698 1
0.85 0.364 1
0.86 0.357 1
0.87 0.3508 1
0.88 0.3416 1
0.89 0.3348 1
0.9 0.3282 1
0.91 0.322 1
0.92 0.3154 1
0.93 0.3062 1
0.94 0.3014 1
0.95 0.2966 1
0.96 0.289 1
0.97 0.283 1
0.98 0.2744 1
0.99 0.2696 1
1 0.2652 1
